"tipoentidad","codigoentidad","nombreentidad","fechacorte","unidad_de_captura","nombre","tipo","subcuenta","nombre_sub","tasaefectivaanual","montos","num_creditos_desembolsados"
"32","1","Cooperativa Financiera De Antioquia","2019-02-01T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","5","ENTRE 1 Y 30 DIAS","28.34","593975","47"
"1","7","Bancolombia","2014-09-26T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","40","A MAS DE 1825 DIAS","11.58","13679369.34","33"
"1","23","Banco De Occidente","2007-05-04T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","20.4","3701160","0"
"1","13","Bbva Colombia","2013-05-03T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","20","ENTRE 366 Y 1095 DIAS","15.23","3850863","50"
"1","34","Bansuperior","2002-05-03T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","40","CONS ENT 13 Y 18 M","30.5","243807","0"
"1","12","Banco Gnb Sudameris","2006-02-10T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","DESCUBIERTOS EN CUENTA CORRIENTE BANCARIA","120","SOBREGIROS","25.8","17891009.46","0"
"1","2","Banco Popular","2004-06-04T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","29.27","5483811","0"
"1","49","Av Villas","2020-05-29T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","50","CONSUMO MAS 18 M","18.63","4557043.65","20121"
"4","23","Serfinansa","2017-06-16T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","40","A MAS DE 1825 DIAS","14.71","20000","1"
"1","43","Banagrario","2021-08-13T00:00:00.000","16","CREDITOS A TRAVES DE LIBRANZA","CREDITOS A TRAVES DE LIBRANZA","20","OTROS","13.87","2789320","140"
"1","6","Itaú; Banco Itaú.","2017-09-29T00:00:00.000","8","CREDITOS DE VIVIENDA","CREDITOS DE VIVIENDA CONSTRUCCION","5","CONSTRUCCION VIVIENDA DIF VIS (PESOS)","12.04","10889468.91","16"
"1","2","Banco Popular","2017-07-21T00:00:00.000","11","CREDITOS COMERCIALES","PREFERENCIAL O CORPORATIVO","60","ENTRE 366 Y 1095 DIAS","9.04","2258333","4"
