Código Ministerio Hacienda;Entidad Acreedora;Nº Contrato;Saldo adeudado Capital 30-Abr-2024;Desembolsos;Ajustes;Amortización;Intereses;Comisiones;Saldo adeudado Capital 31-May-2024
611518539;BANBOGOTÁ 2022;220175-2022;357.500.325.000;0;0;0;0;0;357.500.325.000
611518538;BBVA 2022;220161-2022;230.000.000.000;0;0;0;0;0;230.000.000.000
611518541;POPULAR 2022;220175-2022;214.500.000.000;0;0;0;0;0;214.500.000.000
611518540;OCCIDENTE 2022;220175-2022;92.949.675.000;0;0;0;0;0;92.949.675.000
611518542;AV VILLAS 2022;220175-2022;85.800.000.000;0;0;0;0;0;85.800.000.000
611518931;BANBOGOTA 2022-II;220874-2022;283.333.000.000;0;0;0;0;0;283.333.000.000
611518970;BANCOLOMBIA 2023;230123-2023;1.000.000.000.000;0;0;0;0;0;1.000.000.000.000
611519310;AGRARIO 2023 I;230996-2023;120.000.000.000;0;0;0;0;0;120.000.000.000
611519309;AGRARIO 2023 II;230997-2023;130.000.000.000;0;0;0;4.390.100.000;0;130.000.000.000
611519321;BANCOLOMBIA 2023-III*;231037-2023;379.000.000.000;0;0;0;0;0;379.000.000.000
611519319;BBVA 2023**;231034-2023;186.000.000.000;0;0;0;0;0;186.000.000.000
611519318;BANBOGOTA 2023***;231036-2023;135.000.000.000;0;0;0;0;0;135.000.000.000
611515778;ITAÚ (antes Corpbanca-Helm Bank);140203-0-2014;5.385.181.221;0;0;0;0;0;5.385.181.221
611516359;BBVA 2015;150411-0-2015;7.350.361.861;0;0;459.397.618;183.391.528;0;6.890.964.243
611517731;BBVA 2019;190369-0-2019;37.500.000.000;0;0;0;0;0;37.500.000.000
611517834;BBVA 2020;200041-2020;167.126.341.587;0;0;0;0;0;167.126.341.587
611516517;BANCOLOMBIA;160302-0-2016;28.500.000.000;0;0;0;0;0;28.500.000.000
611516912;BANCOLOMBIA;180046-0-2018;6.000.000.000;0;0;250.000.000;148.740.000;0;5.750.000.000
611518942;DAVIVIENDA 2022;220902-2022;200.000.000.000;0;0;0;0;0;200.000.000.000
612500048;INT. PEC. 2003;PEC 2019 - A 5;300.000.000.000;0;0;0;0;0;300.000.000.000
612500048;INT. PEC. 2003;PEC 2019 - D 10;300.000.000.000;0;0;0;0;0;300.000.000.000
612500048;INT. PEC. 2003;PEC 2019 - O 20;546.964.044.802;0;3.580.134.441;0;0;0;550.544.179.243
612500048;INT. PEC. 2003;PEC 2019 - O 29;546.964.044.802;0;3.580.134.441;0;0;0;550.544.179.243
612500048;INT. PEC. 2003;PEC 2020 - D 10;212.550.000.000;0;0;0;6.125.903.550;0;212.550.000.000
612500048;INT. PEC. 2003;PEC 2020 - O 20;517.410.482.176;0;3.386.692.608;0;20.428.526.234;0;520.797.174.784
612500048;INT. PEC. 2003;PEC 2021 - D 4;240.550.000.000;0;0;0;5.525.192.950;0;240.550.000.000
612500048;INT. PEC. 2003;PEC 2021 - D 10;59.160.000.000;0;0;0;1.560.818.280;0;59.160.000.000
612500048;INT. PEC. 2003;PEC 2021 - O 15;290.508.606.934;0;1.901.514.147;0;0;0;292.410.121.081
612500048;INT. PEC. 2003;PEC 2021 - O 25;586.619.592.706;0;3.839.698.473;0;0;0;590.459.291.179
612500048;INT. PEC. 2003 ;PEC 2021 - D 12;103.000.000.000;0;0;0;3.237.393.000;0;103.000.000.000
612500048;INT. PEC. 2003 ;PEC 2021 - O 20;75.940.079.180;0;497.063.190;0;0;0;76.437.142.370
0;Deceval S.A.;230326 - 2023;0;0;0;0;0;62.017.512;0
0;Fiduciaria Central S.A.;230895 - 2023;0;0;0;0;0;4.641.000;0
512300017;EXTERNOS 2028;BONOGLOBAL2028;578.577.000.000;0;0;0;0;0;578.577.000.000
521200080;KFW 2007;KFW-2007;7.916.168.655;0;20.547.369;0;0;0;7.936.716.024
531500005;AFD****;1085;646.400.000.000;0;0;0;23.351.124.261;0;646.400.000.000
531200027;ICO 774;774-I;9.034.416.487;0;-88.396.204;0;0;0;8.946.020.283
541200098;BID 1812;1812;91.538.095.082;0;-895.643.917;0;0;0;90.642.451.165
543300018;CAF 4081 ;4081;23.394.420.000;0;-228.900.000;0;0;0;23.165.520.000
543500001;CAF 4536;4536;34.311.816.000;0;-335.720.000;0;0;0;33.976.096.000
544300001;IFC 26473;26473;17.545.815.000;0;-171.675.000;0;0;0;17.374.140.000
516500002;IFC 39772;39772;96.273.184.616;0;0;0;0;0;96.273.184.616
516500003;IFC 38347;38347;435.220.225.000;0;0;0;0;0;435.220.225.000
511500044;BBVA ESPAÑA;210534-2021;833.333.333.334;0;0;83.333.333.333;35.936.574.074;0;750.000.000.001
